id;name;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count;latitude;longitude;map_summary_polyline;map_polyline;weather_temp;weather_feels_like;weather_humidity;weather_precipitation;weather_rain;weather_wind_speed;weather_wind_gusts;weather_code;weather_condition
19087781448;Longo morro;Run;27/06/2026 06:55:37;28.89;9913;10451;1139.5;157.1;178.0;84.9;2.914;5.54;343;5:43;2.184;0.0;210.0;1;4;-28.455306;-49.031156;nttlD~sgjHk@bA{ATeHuAq@Hg@ZdBjABbAkALSb@?v@aHaBCVt@r@nAnCSLyDkA`@~@_@}@hEv@E_@aCyCJc@~G~AB_AVc@|@GKiAyAw@t@q@fI|ArBa@HkDo@oBVa@h@EB_AaBaAQcCPiBQaBt@q@eGyBsHmE}AE}CcA}LwBsp@gKgQ~QjAjBtAx@\x@Lp@k@nAcFfCkFQdA~E{@hBaC@sAb@sAYs@nBiAT?|@wAdAmBVoBhCkA]cBrAo@o@aAE}ArAk@hAkB{AgEzIUhB[VgCDyCcBi@`@i@xB_@ZgEdBaFl@oCCsBaCmD{@qCx@w@t@Mj@pAjEGt@qDc@uEv@aChCkCjAuArDuApBoBx@oF|D}CjDmGlEs@GmIkNwBsAcD`@gH_EsG}AiCoDeAc@{G`A{Av@{BcCwDDeGu@iEqB}DeFyBA}BcBy@Q_F\iAdCgFrEqJlDmBlGm@pDVfGOvEr@lAxFnAlBxB|ElDvBjDDxEh@dBjD|@rB~AlDjAvEbFSp@kG~CoOfD~Tj[AlCRbBs@xDo@tA}AhAU~AtElAjD|CzC^fA}@v@iD|BaBpA{Cz@c@vDnEnFmAlB`A~@nAKnAdAvARxAd@^p@tBHtAu@vBoBBe@h@@f@dA`@?^iAdAJ^v@b@mAbCMbEn@dEt@KTg@r@f@uAfBOz@jBCMv@LZfAn@oAp@p@`@nArBNpAkAjDoBr@gA~@hCn@r@pDl@T[~AbBzDeAjB^i@w@_CaBiAgB}BXa@nCKe@wCoC}@CSrDeBfAeDuAuDw@m@jA_AeAo@T}@cBVWYToAfAwAg@WYb@}@Ds@oEXuEdA{Bq@_@Gk@lAkAQ_@w@SBaAfC[t@aCMiA}AaDGiAq@m@SgA`@c@rBd@zKeDrBsAbCgCuAcJf@_BvEmIJcBYsDnAoF{@aBD}C`FgIbBwE@o@eB}Ex@cBLeFlAiD`AkAnCeC`DgBhKcJrB_AlAiBvAuDnCmAjBsB~DiApE\?_A}@sC@aAXk@~BqAp@KnDx@xAvB`B\jIcAjD_BlAkCb@QzC~AnA?`Aw@`@iBdEoIrB|AbCwCjAB^f@xAmAtA\bByBfCk@`A{@?cAzA]b@gBdA`@fBk@zBEV_Af@e@oAyEvBN~Da@zCqBd@mAc@}AwAy@oAqBpQ}QdGJxBdA`Dl@vn@~J~E`AjGvDlHdDs@r@Ff@;tttlDvkgjHWAODGDMTHh@`@v@H~@ARBr@Uh@UVQFe@Hc@BsDe@[OSCQKo@OO?a@He@TADDJZJVLj@d@LVARGVQBe@CSLSb@?TFTCHC@a@KOIoAS{@Y_@Ka@QOEQDEL@Ht@r@Lf@FLh@d@NX?XKNGA[WYEMIwA_@]CCDBR`@d@c@k@BQTAlDbADI?EEYY[i@_@Oc@Sc@YUEQJODARAxBr@dATf@R\FDCBIEWD]Vc@z@C@C?e@Kc@a@Yw@]COx@a@PCZBh@Rd@Vl@J\P|BRd@Ah@Kb@SJ]@i@@y@Ei@Oe@Uc@Ie@@ITWh@EDa@A]CG}@[_@]Ko@EsABk@Je@@WEm@Ks@JS^QHKuAa@kAa@cBu@{C_BcBkAs@a@YESBo@CeAWs@_@c@KeAMwHwAg@IWGsBQo@KwA[uB]sE{@gMkB{Bc@eAOaAQaC]u@GyAYOAWNSVMHwBdCg@h@a@Xw@~@aCjCc@\u@p@w@fA?HDHr@x@P\~@f@TP\x@Jb@@LK\_@p@YX_@T{Az@}@JEJIBS@o@I_@?WFGCa@@g@M]AERFXTb@j@jB@`@m@r@Gj@EHKFg@DmAKsAb@a@Aa@SOCCBIXIp@[^{@FMLEJJd@EJYPc@b@YN_@Hq@?[Lk@l@i@p@Yh@W?QGUQKCSJ{@`ASDEAi@m@MEs@?YNSTSP[ZE\GR]VUCm@{@]YIAk@rAY|@[l@Y^kAzBMpAGV[Vg@H_@B_AGkAq@s@k@YEQHWVK^Mr@Od@_@ZsCnAs@TgC`@i@Fo@BmBBa@GUI][IMYk@[a@mD{@g@Da@LgAd@m@f@ILMj@Dj@X~@p@~A?h@GJI?e@G}A[c@?s@FaAL{@Nc@POJ]^u@bA]XkBp@_@Xe@v@]xAQ`@y@vA[XcBp@i@^}AnAsBtAuArAgAvAc@VwAr@qB`B_@^]HUQi@w@]u@U_@}@mAi@_AYc@_@aAKKKUe@m@OYuA_Aa@Sk@Ec@Lc@V[DSCe@SuDcCkAg@oCy@e@G}A[g@c@GKBAQQo@iA[a@_@We@Kk@CSDG?i@PgAVq@Fo@Lu@`@ONUDSIW]s@kA[Oc@E_@?wAH[@yD_@kAUy@m@iBu@e@M]_@aAwAaAoA[]KEc@Cc@FW@MAi@USM_A_Aa@OWA{BJcBPOTy@nBaAj@g@f@s@h@e@t@c@^w@`@YJYJeAP]JaDtAQZIv@{@`CUv@g@hCEf@C`ABv@PvADt@OhE?LLh@d@b@b@Pf@JlBNZFb@Xb@^h@|@^ZlC`Br@j@Z^bBbCRf@BL@l@CpBBj@Hl@L^PV`@ZhC`@b@Tn@n@^Xj@R`@Fd@Nx@^`@Xh@h@dAtAdAhABLANCDQLyD`Bg@Zi@`@O?g@JcEpAyB`@sBT_@JED@Hj@|@xAtBdArA`@d@fBnChD~Dv@rA^`@xAvBJTDh@GbBRbBIf@Sx@UvAUn@Yd@URgAt@Wn@Ah@BDLHb@Nt@BlBn@`@VtAbBLJd@Td@HtBT\Oh@m@Ti@No@Bg@Ha@BEPO`@WhAy@Na@Li@^e@Ri@^]ZEVPh@x@rAfB`@Zl@?j@QtAo@f@MV@lB`An@v@NVGZC@?p@L\LPXRNRDP@b@Jb@FH\TNj@^bAJl@?l@EZ]p@CTMRMFG?e@Es@@QDSb@AVBNDHPF\BNJ?^KT[VUFKN@PHLXFF?JHHPIPa@\Q`@Op@@dACRO\ALD^?\FX?PFJD\JPJd@@RCRBNN@XKJAJ_@HG\JTZANEFm@h@_@d@Oz@BHD@TEFGXG`@@FBDJAFCNGFEJLZVDPLXLBL?FSJS?WFOTLRb@LFHPl@d@b@NVBd@Jj@Or@KXGHW~@ORQR_@P}@Lw@b@MPAHHNPBZApA\Tf@ZvA?j@@DDF^BFHAPOPIR?f@f@v@FXVl@DPPZBLW\IR@HGROPMHG?JCZ]EHDQC]Se@CEBJSc@K]QSi@YGI]Q]a@Si@u@q@@MVSf@Gf@Ff@?VK@UC[c@eB[YqAUa@MCSHKt@g@vAYZW\u@h@oBGe@Qk@{@cB[O[]?GFQNKf@MHE@EEIMI[KUO?EBQP[?III_@@]P[LKAKWFq@L]Z]d@_@DY]WI?ENSRa@J[EGc@@O]eAOuA?w@TeAAy@D]Jg@R[`@_@BW]WSGGM?]DEPEVSVYDQCSMKc@ESMC]Fc@FIZMb@Gl@FPCP[Vs@H]@SEy@GOc@_AKg@UWWa@GiAg@_@IMQi@A]N_@PCbAf@n@Ar@QPIb@IfAa@dAYbDcA`Ag@p@k@nBgBR_@C]a@_B]oBS_B@UJo@Zo@l@gA`CoDf@uAFi@By@AWSaBCy@Dy@l@iBVm@B]{@aBEm@BgAFg@\o@j@y@n@mAhAaB\m@r@gBn@oB@o@c@y@u@gBEMEm@J]l@eADY@}@Ck@?u@Hk@Na@Lg@n@_BXa@bD_DROdAi@zA}@bAiAvAsAbA{@nBuAx@s@RKL?t@_@h@_@~@}At@cCf@w@`@Sv@Wn@[VUt@aAXWb@Y^MpAUVKnAI\B~A`@XAFSASEWo@yAMy@Ae@B[LWJS~@k@f@QVSZKT?p@R|Bd@JDNNf@dATZNJZH\FV?xAEbAKpAQzA_@jD_B\g@V}@Ve@b@Q\BjAbAp@Vj@Bb@Cl@URa@VuAHSdEoIB?ZRz@`AVFVSNa@Xc@`A}@b@Cf@FJTRPTEd@m@\YT?f@VVDRWf@w@f@i@b@W|@Ed@M`A{@H[IU?QFI`@Id@AJGPs@Fa@HQR@XTVH|@Wh@Sv@H`@?`@OV_AVQNSEa@m@mBM_@MQCKBKFILCL@^Rr@Ff@Gv@?XG`@Mb@C`@Q`@Yj@[j@i@Zi@HW?KMk@Uq@IImAo@S]w@_ACE?M^g@hAeAf@m@zE}ElEuE\O`@@f@GfAF`ALh@ANNhA\^V`Dl@pKdBrAPbBZtAZtDd@vCn@pARxAP|IrARD`@XNDjATVDt@?b@Tl@d@dBfArAr@fBx@nDzATNGJ_@RKRBVLf@@PCVMj@Ep@@VDZ?VLj@LRRRr@PDR?XIXGD[FONATBLESBQ@EZQPD@Bg@JKLLMPG;7.7;6.3;92;0.0;0.0;3.6;9.0;1;Principalmente limpo
19108277545;RodaG;Run;29/06/2026 06:24:09;12.26;3659;3710;11.6;152.3;161.0;87.4;3.349;5.18;298;4:58;1.9599;833.0;60.0;0;1;-28.4778;-49.004762;jtxlDxvajHs@sAc@k@Ye@CKw@wA{@qAcDiFw@sAKWB@ABa@i@]k@_@c@We@c@m@[w@Ye@mA}AgAqBc@c@Yc@}CyE_@o@Oc@iA}B[s@cA}AI[s@{AmAoB[_@[w@gBaDSc@{@uAYq@_A}A}CoDi@u@eCyC_DmDsAeBy@oAeA}B}@cBi@}@i@s@_AwAIY}@iA]s@{AmCqC{H_@uA[_AO{@c@gBK{@UmAMsAUgAe@cD?YPa@^_@rA{@DAZ?hItGzCxBLNL^Td@fAd@fAnAfCtBvDrDtAzBd@n@Vf@pAnBd@j@fB~CVj@x@t@\^xDzG`@n@jB`DrCrExClFhAbB^bAVb@Z^Xf@H`@W\E\KHe@X{AhA{@t@k@^m@h@KRJ^F^Xb@N`@RZTl@V^Zp@f@j@r@hAFV`@r@L`@n@bAxAjCd@j@lAnBTf@lB|CRb@Zd@Vj@`ArAXXNd@Xf@r@bAX\f@fAPXX\`@t@d@f@n@z@Vf@H^j@hAl@dAXZBLCBAAAEBFRLVXTPLThDtEVj@Zd@d@l@Zt@hBjCXb@Tl@PNV\Xn@@LCA?@DLn@jAJFCD@HPd@LNJBDHdA|BNd@LR^\`@n@FZ?Rh@dAh@pAJd@Xb@VzAHTNp@`@|@`AdGHNRfAD\?L\hB?^TzAX`AhAlIN~@f@dCVnBb@|BHzAX~BB`BFXHjA`@fDZlDVrBDbALzADxALbALdDNfA@~@HvADxCJ~AA~ACDMHo@CuD[SQY}AOiCc@uEIcBSmBEoAQoB?u@Me@AKOo@Ao@Ge@MoCMaBQyACm@M{@Cc@OqASqCa@eDMi@Go@SmA_@aEYcBSyAKaB_@aCM_BeCwLi@}Ce@q@O]c@o@Mg@Q[U{@g@eAOq@}CaHm@}AAOwAaBMS;faylDxfbjHcCeDy@mAg@k@{AoBq@w@Yc@aAgBc@k@Ye@CKw@wA{@qAcDiFw@sAKWB@ABa@i@]k@_@c@We@c@m@[w@Ye@mA}AgAqBc@c@yCoE}@}AOc@iA}B[s@cA}AI[s@{AmAoB[_@[w@gBaDSc@{@uAYq@_A}A}CoDi@u@eCyC_DmDsAeBy@oAeA}B}@cBi@}@i@s@_AwAIY}@iA]s@{AmCqC{H_@uA[_AO{@c@gBK{@UmAMsAUgAe@cD?YPa@^_@rA{@DAZ?hItGzCxBLNL^Td@fAd@fAnAfCtBvDrDtAzBd@n@Vf@pAnBd@j@fB~CVj@x@t@\^xDzG`@n@jB`DrCrExClFhAbB^bAVb@Z^Xf@H`@W\E\KHe@X{AhA{@t@k@^m@h@KRJ^F^Xb@N`@RZTl@V^Zp@f@j@r@hAFV`@r@L`@n@bAxAjCd@j@lAnBTf@lB|CRb@Zd@Vj@`ArAXXNd@Xf@r@bAX\f@fAPXX\`@t@d@f@n@z@Vf@H^j@hAl@dAXZBLCBAAAEBFRLVXTPLThDtEVj@Zd@d@l@Zt@hBjCXb@Tl@PNV\Xn@@LCA?@DLn@jAJFCD@HPd@LNJBDHdA|BNd@LR^\`@n@FZ?Rh@dAh@pAJd@Xb@VzAHTNp@`@|@`AdGHNRfAD\?L\hB?^TzAX`AhAlIN~@f@dCVnBb@|BHzAX~BB`BFXHjA`@fDZlDVrBDbALzADxALbALdDNfA@~@HvADxCJ~AA~ACDMHo@CuD[SQWuAQqCc@uEIcBSmBEoAQoB?u@Me@AKOo@Ao@Ge@MoCMaBQyACm@M{@Cc@OqASqCa@eDMi@Go@SmA_@aEYcBSyAKaB_@aCM_BeCwLi@}Ce@q@O]c@o@Mg@Q[U{@g@eAOq@}CaHm@}AAOwAaBmAgBUa@;16.2;17.8;97;0.0;0.0;2.1;10.1;3;Nublado
19135677304;Muito forte - 3*3km;Run;30/06/2026 19:25:47;10.36;2733;3128;130.3;153.2;182.0;88.4;3.789;6.027;264;4:23;1.7219;0.0;49.0;1;1;-28.476189;-48.996225;bzxlDnt`jH\b@d@t@tCbF`@|@nAfBTh@d@`APTv@xAHDZv@R^d@f@dA`BbAdBv@hAXf@h@|AHBFDLPPh@`AnENtAAL@JXr@Tb@Vr@NxAR`A@h@TxBZjA@TARE?GFY^c@z@I@UKU_@gAuAKk@?U@GXMl@e@t@WX?Xk@\WH[?o@e@aDC[SgA]gCJYPAf@I\Q]B[Lm@LACE[?DAKCN?EEHLXfBUhB[\C\K^EXIXCZpANnATnCN`AETe@|@SVk@fAWjAUZ[VIR@DLVLLVLDF`DjELVnAdBrAtAv@~@FNXRNPh@z@hAlARDz@QBEAOcAmGWqA]eDOm@QiBEMIKYCi@Ds@?MIe@u@w@oBm@kAoAiBMq@Q{AWsAM}AIYKCaCb@a@N}BVQ@MCGISs@i@eD@Ob@MbB[NFPZNt@H~A?fAa@NuALMGCEESq@}D?QFKDCb@Kp@Ir@ERlBJ|BCRWPkARS?EEIWGi@F?BB?LMDC@@FL@FFLDHJDABRA@vBk@lAO~AETMH@BFHx@VrAd@vDANgAjCc@v@Ml@GNINi@p@@H^^f@p@jBpCPR~@rA`@d@z@pAZZ\b@L\JNh@d@d@^zAbBJBfAYBMYeB]{C[qAQ{AWsAIu@YaBEGo@@]IY@[Go@aA{AuDUa@o@u@Q_@k@eFGc@YaAEEE?]Fc@J{@Lq@PoB\YBUIEGYgBM}@Ew@?OBGDClDu@xCg@F?@HCBWHw@P{@H}@Na@Fe@Ni@HQDXnBb@vBDFd@Dv@GlCi@[LgATg@H_AFg@AI[@?ABB?KHMXQBUNSEI?GCSo@e@}BQe@[i@Ig@KUi@cAa@k@k@u@SKWc@I[s@mA[_@_@q@Qc@Ca@[Og@y@c@a@[c@c@{@[u@Wc@MMs@gAK[[q@_A_BQSQ_@[i@]e@_@w@U[SQKEuCb@e@LqARaCn@u@HQQo@eAa@u@{@sAw@wAeA}Ag@}@?CHGxBg@;dwxlDlq`jHXH^Xb@|@\b@d@t@tCbF`@|@nAfBTh@d@`APTv@xAHDZv@R^d@f@dA`BbAdBv@hAXf@h@|AHBFDLPPh@`AnENtAAL@JXr@Tb@Vr@NxAR`A@h@TxBZjA@TARE?GFY^c@z@I@UKU_@gAuAKk@?U@GXMl@e@t@WX?Xk@\WH[?o@e@aDC[SgA]gCJYPAf@I\Q]B[Lm@LACE[?DAKCN?EEHLXfBUhB[\C\K^EXIXCZpANnATnCN`AETe@|@SVk@fAWjAUZ[VIR@DLVLLVLDF`DjELVnAdBrAtAv@~@FNXRNPh@z@hAlARDz@QBEAOcAmGWqA]eDOm@QiBEMIKYCi@Ds@?MIe@u@w@oBm@kAoAiBMq@Q{AWsAM}AIYKCaCb@a@N}BVQ@MCGISs@i@eD@Ob@MbB[NFPZNt@H~A?fAa@NuALMGCEESq@}D?QFKDCb@Kp@Ir@ERlBJ|BCRWPkARS?EEIWGi@F?BB?LMDC@@FL@FFLDHJDABRA@vBk@lAO~AETMH@BFHx@VrAd@vDANgAjCc@v@Ml@GNINi@p@@H^^f@p@jBpCPR~@rA`@d@z@pAZZ\b@L\JNh@d@d@^zAbBJBfAYBMYeB]{C[qAQ{AWsAIu@YaBEGo@@]IY@[Go@aA{AuDUa@o@u@Q_@k@eFGc@YaAEEE?]Fc@J{@Lq@PoB\YBUIEGYgBM}@Ew@?OBGDClDu@xCg@F?@HCBWHw@P{@H}@Na@Fe@Ni@HQDXnBb@vBDFd@Dv@GlCi@[LgATg@H_AFg@AI[@?ABB?KHMXQBUNSEI?GCSo@e@}BQe@[i@Ig@KUi@cAa@k@k@u@SKWc@I[s@mA[_@_@q@Qc@Ca@[Og@y@c@a@[c@c@{@[u@Wc@MMs@gAK[[q@_A_BQSQ_@[i@]e@_@w@U[SQKEuCb@e@LqARaCn@u@HQQeEgHeA}Ac@w@CIHGb@KtA[b@Gj@YbAW|@Kj@Ev@Kb@?DBZ`@j@pAfBjCZp@;12.7;12.5;89;0.0;0.0;2.9;8.3;3;Nublado
