id;name;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count;latitude;longitude;map_summary_polyline;map_polyline;weather_temp;weather_feels_like;weather_humidity;weather_precipitation;weather_rain;weather_wind_speed;weather_wind_gusts;weather_code;weather_condition
18739547129;Regenerativo - com D+;Run;01/06/2026 05:55:20;12.48;4668;4701;193.2;136.3;178.0;84.6;2.673;4.567;374;6:14;2.7439;896.0;29.0;0;1;-28.454746;-49.028811;z`ulDnsfjHbAk@`@]dDcDf@g@V[pCoCrAwAz@y@bAy@RMD@h@|@v@fBj@dAdEjGVf@dAdBzAxBv@rArCpEvBpDlG|J~@rAlBzCp@`AnB~Cz@bAz@t@d@j@ZJ\Ml@[fBiAn@g@LS]Y{AwB{C_FyDwFuBsDmIsM]c@AK@?@BGCyAeCaCmD_@q@eCmD_FuHaAaBY_@I?OJiAnAkAhAY`@@h@Pf@p@pA`BbC`CvDPPRb@rBbD~A|Bh@bAbE`HhBpCj@hAxGbKt@tAx@hAd@f@d@^ZZlBxCp@z@TBBEr@[pA}@^Ql@i@PKBEa@e@B??DSQ[c@g@_A]g@{AiC_AmAgBuCmBsCWc@EUs@{@}@sAK_@c@a@yDaGKE?MIQy@iA_DgFg@q@aAyAWc@sB{Co@gA{BoDgBgCG?e@^cAlAkAjAEHC`@J^hB`DhAhBhDfFfAjB`CrDzAbCbAhBd@p@N\dAhBrChEY]q@eAUWK?BA@KCC{FgJoEqH}AeC}@{Ak@{@iA_B{@_Ba@m@Ws@a@w@U[GCG?kCjCc@h@cKxJaBtAaA^SVOf@W`@gAbAUDm@f@QTi@RoA@k@Gc@?u@f@Rv@Hb@CVK\Ed@HtBHb@TV|@ZFNIt@S?[LIXLl@Vf@FPDd@AfAE^Ub@]Vq@Hc@?[C{@?u@Qa@Qu@Oo@W[C]H]TEFADHFXHl@ZLPFN@ZKZk@AQHKLMX?XDREJE?k@Ss@QYCe@KkAi@WCQBKP@FBFPLVVLl@z@t@JVEXCDM?a@UYGs@Uq@OSA?Vj@p@\?T^f@RDHJ@TK@WT}@COEKKQi@a@IQIe@GIWSI]LOV@|Al@xA\h@R`@H@QCSD_@Ta@RCn@C@CCg@KYa@[y@[AIJKb@Sd@Gb@Fj@Vf@LVLfAPhAFjAIb@OT];dqtlDb}fjHl@c@`@OjAFz@Al@Uj@k@z@o@x@w@f@gAfAg@bAu@dDcDf@g@V[pCoCrAwAz@y@bAy@RMD@h@|@v@fBj@dAdEjG~@`BxBdDv@rArCpEvBpDlG|J~@rAlBzCp@`AnB~Cz@bAz@t@d@j@ZJ|@_@tBsAn@g@LS]Y{AwB{C_FyDwFuBsDmIsM]c@AK@?@BGCyAeCaCmD_@q@eCmD_FuHaAaBY_@I?OJiAnAkAhAY`@@h@Pf@p@pA`BbC`CvDPPRb@rBbD~A|Bh@bAbE`HhBpCj@hAxGbKt@tAx@hAd@f@d@^ZZlBxCp@z@TBBEr@[pA}@^Ql@i@PKBEa@e@B??DSQ[c@g@_A]g@{AiC_AmAgBuCmBsCWc@EUs@{@}@sAK_@c@a@yDaGKE?MIQy@iA_DgFg@q@aAyAWc@sB{Co@gA{BoDgBgCG?e@^cAlAkAjAEHC`@J^hB`DhAhBhDfFfAjB`CrDzAbCbAhBd@p@N\dAhBrChEY]q@eAUWK?BA@KCC{FgJoEqH}AeC}@{Ak@{@iA_B{@_Ba@m@Ws@a@w@U[GCG?kCjCc@h@mKbKwAjAaA^SVOf@W`@gAbAUDm@f@QTi@RoA@k@Gc@?u@f@Rv@Hb@CVK\Ed@HtBHb@TV|@ZFNIt@S?[LIXLl@Vf@FPDd@AfAE^Ub@]Vq@Hc@?[C{@?u@Qa@Qu@Oo@W[C]H]TEFADHFXHl@ZLPFN@ZKZk@AQHKLMX?XDREJE?k@Ss@QYCe@KkAi@WCQBKP@FBFPLVVLl@z@t@JVEXCDM?a@UYGs@Uq@OSA?Vj@p@\?T^f@RDHJ@TK@WT}@COEKKQi@a@IQIe@GIWSI]LOV@|Al@xA\h@R`@H@QCSD_@Ta@RCn@C@CCg@KYa@[y@[AIJKb@Sd@Gb@Fj@Vf@LVLfAPhAFjAIb@OT]@m@E}AGc@Uc@K]?UPWBA;14.2;14.7;95;0.0;0.0;3.9;8.6;1;Principalmente limpo
18763185742;Evening Run;Run;02/06/2026 19:30:24;3.21;946;1130;3.6;125.9;159.0;85.0;3.393;5.54;295;4:54;2.3407;196.0;3.0;0;1;-28.4761;-48.996222;fixlDju`jHU[}AcC`@p@NJV\H\F^P^\`@Vl@\j@l@lAvAxBT`@Xp@p@`A^`@p@fATVT`@TXTd@`A`BVV`@x@n@bAv@h@LPTPPd@V^^p@lAlBb@l@Tb@Rn@Z^ZXh@nAd@z@X^l@pATZ?LEDqA\eCd@E@UOk@u@Wk@q@_AaBuBqD_FB?FDRVz@tAd@h@JHd@l@LJDHvAhBsA_BeA{AuCuDsBuCmB{CkA}Ak@cAeBkCuAcCeBiCsAaCeAyA;rvxlDlq`jH]P{@To@?k@PKHQ?g@Pc@Fc@Ng@LYBGCIBSACCoB{C`@p@NJV\H\F^P^\`@Vl@\j@l@lAvAxBT`@Xp@p@`A^`@p@fATVT`@TXTd@`A`BVV`@x@n@bAv@h@LPTPPd@V^^p@lAlBb@l@Tb@Rn@Z^ZXh@nAd@z@X^l@pATZ?LEDqA\eCd@E@UOk@u@Wk@q@_AaBuBqD_FB?FDRVz@tAd@h@JHd@l@LJDHvAhBsA_BeA{AuCuDsBuCmB{CkA}Ak@cAeBkCuAcCeBiCsAaC{AsB_@m@c@w@?G;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
18763185748;Muito forte - tiro 2;Run;02/06/2026 19:50:23;1.02;213;213;0.0;144.2;154.0;92.2;4.809;5.588;209;3:28;1.448;54.0;1.0;1;1;-28.472096;-48.997037;t`xlDpz`jHbCpD`A`BrB|ClBpCj@jAdAxAXf@LZzA~B;r}wlDnv`jHA@HNv@`Ar@dApBxC`A`BrB|ClBpCj@jAdAxAXf@LZzA~BrDxElBjCT\rA`BNTFP;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
18763185766;Muito forte - tiro 3;Run;02/06/2026 19:54:47;1.01;208;208;0.0;159.6;166.0;92.6;4.85;5.525;206;3:25;1.2901;56.0;5.0;1;1;-28.478048;-49.005049;~uxlDrxajHYe@uCuDs@qA_@m@SW}@}AsAmBq@uAwAqBWc@sAkB;xbylDphbjHmBaC_AuAkFeHYe@uCuDs@qA_@m@SW}@}AsAmBq@uAwAqBWc@sAkBm@aAk@kA;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
18763185741;Muito forte - tiro 4;Run;02/06/2026 19:59:52;1.0;208;208;0.0;154.2;166.0;93.1;4.83;5.34;208;3:28;1.3489;58.0;3.0;0;0;-28.472061;-48.996973;~`xlD|z`jH~BrDb@v@x@hArBhDl@z@dAjBz@nAhBxC;l}wlDbv`jHl@v@xC~Eh@t@b@v@x@hArBhDl@z@dAjBz@nAdC`E|BxClCrDbC~C;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
18763191086;Muito forte - tiro 5;Run;02/06/2026 20:04:51;1.01;210;210;0.0;152.6;165.0;92.8;4.792;5.233;208;3:27;1.3624;55.0;3.0;1;1;-28.477751;-49.004819;vtxlDdwajHyAgCc@i@aEwGmBqCO_@u@kA}@kAa@u@aAyA;~`ylDbgbjHMOQc@iFeHq@eA}@eAgB_Dc@i@aEwGmBqCO_@u@kA}@kAa@u@cDiF;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
18763191368;Muito forte - tiro 6;Run;02/06/2026 20:09:45;1.01;211;211;0.0;163.0;173.0;92.5;4.778;5.45;209;3:28;1.2816;61.0;5.0;0;0;-28.472026;-48.996923;b`xlDzy`jHpBvC|@zAtD|Fr@`AdAjBjAfB|ApC;d}wlDxu`jHrBbDzAtB|@zAtD|Fr@`AdAjBjAfBpBnDrAhBnCjDjAbBr@lAh@h@;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
18763191090;Muito leve - desaquecimento;Run;02/06/2026 20:16:17;2.01;610;610;2.9;151.5;160.0;86.1;3.29;3.888;304;5:03;2.0033;141.0;9.0;1;1;-28.477943;-49.004955;ztxlDxwajHq@kAy@cA_A_Bi@s@mA{BwCoEsA{B]q@Y]]m@oAkBi@_AOe@i@{@QY_AeAqAuBUs@LUdAkAfBeCHCJBZ`@r@nApBdDz@pAx@vAXVXPf@n@LC;dbylD~gbjH?Cs@q@KQsBoC_@i@a@a@SYy@aAg@y@g@k@kAqBu@}@_CuDw@yAoDqFyAkCY]]m@eBmCS]Oe@i@{@QY_AeAqAuBUs@LUdAkA~A}BFGHCJBZ`@r@nApBdDz@pAx@vAXVXPf@n@tBc@~Ca@n@MpBi@FS;15.2;15.3;86;0.0;0.0;6.2;13.0;3;Nublado
