id;name;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count;latitude;longitude;map_summary_polyline;map_polyline;weather_temp;weather_feels_like;weather_humidity;weather_precipitation;weather_rain;weather_wind_speed;weather_wind_gusts;weather_code;weather_condition
18501375393;Moderado - pré prova;Run;14/05/2026 06:07:43;8.01;2275;2280;12.8;157.5;181.0;88.2;3.522;4.829;284;4:44;1.8032;540.0;48.0;0;0;-28.454802;-49.028754;jaulDfsfjHl@]dAw@hDcDnAuArCuCl@i@pAqAr@i@B?VJZZV\`@z@FHHBJAbB{ALEJ@JH~AhCZ\@AGOK[DPVh@Tb@xCnE^p@tAtBRb@jAjB|EjH~@|AXb@?HADUTg@\gAz@K@u@[[]iDoFcDqFeBkCyAgCqCcEaBsCCG?WBG`AcAjC{BNYIUaAmAGMWUG?QJ_ChCc@b@Q\Lr@zAhC|B|CvAhCfF~H~JtP`BjCfBnC`A`BRRdC~D\^vA`CJJv@f@|@z@TAd@KJGrD_CFMAE{AcBa@o@eEoGeBuCcCqDiGwJmAgBsAyB}AyBqAwB]c@oAwBwAsBOAMBs@p@GBO@KKi@gAAM@C?FG?q@}@s@kAECQBiBlBIXHXz@pAfApATd@~@vAl@dA~AbC~BxDRPCKe@i@wA{B{FmJg@o@_BcC_@o@[w@e@}@]MUPaAhAsBvBo@n@q@h@qAtAg@b@eCfC;pqtlDv|fjHn@YHAbBLv@MZIFElAmAZ]r@k@RWRk@XS~@g@rAaAhDcDzCcDtBqBpAqAr@i@B?VJZZV\h@dAHBJAbB{ALEJ@JH~AhCZ\@AGOK[DPVh@Tb@xCnE^p@tAtBRb@jAjB|EjHxA`C?HADUTg@\gAz@K@u@[[]iDoFcDqFeBkCyAgCqCcEaBsCCG?WBG`AcAjC{BNYIUaAmAGMWUG?QJ_ChCc@b@Q\Lr@zAhC|B|CvAhCfF~H~JtP`BjCfBnC`A`BRRdC~D\^vA`CJJv@f@|@z@TAd@KJGhDwBHGFMAE{AcBa@o@eEoGeBuCcCqDiGwJmAgBsAyB}AyBqAwB]c@oAwBwAsBOAMBs@p@GBO@KKi@gAAM@C?FG?q@}@s@kAECQBiBlBIXHXz@pAfApATd@~@vAl@dA~AbC~BxDRPCKe@i@wA{B{FmJg@o@_BcC_@o@[w@e@}@]MUPaAhAsBvBo@n@q@h@qAtAg@b@eCfCsAjAa@Vs@ZOJe@nA}AnA_@Tc@b@o@Zc@?;11.9;11.4;89;0.0;0.0;3.1;6.8;0;Desconhecido
18528783039;Staff;Ride;16/05/2026 07:51:55;14.9;5307;5499;23.8;110.8;138.0;;2.809;4.889;356;5:56;3.2148;497.0;14.0;0;0;-28.454379;-49.0283;zhtlDjvfjHm@YqBuA[e@Ca@_@Ky@OUKY[qAaBo@uAc@gA_@o@o@w@_Ao@_@Q_G_CuBu@iAU}AOO?cF^sCH}EC{@EwFIyCN]Jy@AoALiABcATg@IQMSUKYAO@s@^cDFQTa@|A}AX]x@y@rIwIh@m@bGcGhRuRrCiChLqLhAoA`FcFj@_@|@e@f@[d@m@d@eAB@ADEDN_@\c@hBiBnBuB`G_G`MkMbCaC|BcC`GeGz@gAfEgEbAgAhBeBtBmAb@c@v@}A\c@b@_@pG{GRYJ_@f@g@VQb@MJON[TaAb@e@\k@LQLGFATO`AkAfAeALOn@k@^e@vCkCx@m@T@tEfJb@t@x@hAf@dAXZzAdCv@jA\b@Th@hAbBbAdBj@x@dC`EX`@n@fAz@tA|@lAx@rAXb@DN?GFF|@hBtAtB|@lAbA|AhAvA\^r@dAZ`@NL\l@\^^RV\bCbETXzEtKJb@Xl@`AfCR\ZJBBz@rCRrBFPXtBNt@\hAj@hCLpABfANd@Jl@\bCFr@TtAL~@P|BTtAGEUgCq@aGm@eEISGg@SsBQ}@a@oCi@yBKy@]_BOQ]{Aq@wAQQIi@m@}AWk@IMg@qAi@cAQYkAiCa@o@Si@KOCAyBrB]^IVUFWLe@b@w@v@GLGFU^MBIDYZ[TsAvAqAfAgBnB{@p@aAdAaC|Bm@n@U\s@r@MFk@r@c@\WZ}@t@gBjB]V[\_CxByAzA]Zq@v@_Ax@Wj@?XBZAB]RUF]Vw@Jw@t@IJK\Jn@DJTRn@z@BXW^oAnAoF`FkDlD}@v@mBpBcAz@w@~@wChCsAtA_Az@G?GEaAwAe@[QJiA`AgBjBALnApBJT?J?DIJ[Z_@b@AH?HLT\`@x@lAz@tAh@t@PZDF?@EABC?DECCEF?TX`CxDXd@BNEHcBtAa@NGGo@gAcCuDOOUOSCGGOa@mCcE}A{CQYIG]XoNjNaBzAq@f@;zntlDzyfjHq@e@eDuA_C}Ac@k@?UCKCAiAUa@OY[qAaBo@uAc@gA_@o@o@w@_Ao@_@Q_G_CuBu@iAU}AOO?cF^sCH}EC{@EwFIyCN]Jy@AoALiABcATg@IQMSUKYAO@s@^cDFQTa@|A}AX]x@y@rIwIh@m@bGcGhRuRrCiChLqLhAoA`FcFj@_@|@e@f@[d@m@d@eAB@ADEDN_@\c@hBiBnBuB`G_G`MkMbCaC|BcC`GeGz@gAfEgEbAgAhBeBtBmAb@c@v@}A\c@b@_@pG{GRYJ_@f@g@VQb@MJON[TaAb@e@\k@LQLGFATO`AkAfAeALOn@k@^e@vCkCx@m@T@tEfJb@t@x@hAf@dAXZzAdCv@jA\b@Th@hAbBbAdBj@x@dC`EX`@n@fAz@tA|@lAx@rAXb@DN?GFF|@hBtAtB|@lAbA|AhAvA\^r@dAZ`@NL\l@\^^RV\bCbETXzEtKJb@Xl@`AfCR\ZJBBz@rCRrBFPXtBNt@\hAj@hCLpABfANd@Jl@\bCFr@TtAL~@P|BTtAGEUgCq@aGm@eEISGg@SsBQ}@a@oCi@yBKy@]_BOQ]{Aq@wAQQIi@m@}AWk@IMg@qAi@cAQYkAiCa@o@Si@KOCAyBrB]^IVUFWLe@b@w@v@GLGFU^MBIDYZ[TsAvAqAfAgBnB{@p@aAdAaC|Bm@n@U\s@r@MFk@r@c@\WZ}@t@gBjB]V[\_CxByAzA]Zq@v@_Ax@Wj@?XBZAB]RUF]Vw@Jw@t@IJK\Jn@DJTRn@z@BXW^oAnAoF`FkDlD}@v@mBpBcAz@w@~@wChCsAtA_Az@G?GEaAwAe@[QJiA`AgBjBALnApBJT?J?DIJ[Z_@b@AH?HLT\`@x@lAz@tAh@t@PZDF?@EABC?DECCEF?TX`CxDXd@BNEHcBtAa@NGGo@gAcCuDOOUOSCGGOa@mCcE}A{CQYIG]XmPfPc@^q@f@{@^SPQj@S\c@RuBlB[Ti@Pg@AyAQ_@T;15.2;15.7;95;0.0;0.0;6.3;11.2;3;Nublado
18540405801;Prova MF RUN 26;Run;17/05/2026 07:00:40;5.02;1098;1098;49.5;177.0;186.0;90.9;4.572;5.95;219;3:38;1.2356;307.0;51.0;0;0;-28.650873;-49.210535;rnzmDtbjkH}CaDm@k@UQcAi@}@Ye@Ki@Gu@Ay@BiAP_@J{Bt@sBx@}Bt@eAZ{Bh@qDjAkAXo@Fw@BeAGeBOqFYgACqA@}@Hc@JsAl@aN`JSRCJ@FpNvQrCvDlA|An@|@zDzE~FxHVPJ@zCDrA?zEKrBAlKDdCCdAGnA?jAGXGf@WnCwBxCyBdB{@h@OtAStC]dAIj@INEpAk@tAeBVc@?IKWOSIYk@wHUsD[mDM[EEqAq@;~zzmDzljkHq@k@[UMCa@FG?e@_@cCkCgAeAqDwDcA}@cAi@}@Ye@Ki@Gu@Ay@BiAPgAZgE~AcEpA{Bh@wExAmAR_ABeAGeBOqFYgACqA@}@Hc@JmAh@yBtAaBjAkGbESRCJDLrAbBpCpDfGzHrCvDlA|An@|@zDzE~FxHVPp@DhE@zEKrBAlKDdCCdAGxBA`@EXGr@_@bCoBxCyBbAi@`@Qh@OjFq@dAIz@OpAk@tAeBVc@ASYa@IYk@wHUsD_@wDOWqAq@{@s@iCgC;14.8;15.7;98;0.0;0.0;4.2;9.0;0;Desconhecido
